"날짜","댓글","평점"
"2019-03-20 09:54","시간가는줄 모르고 봤네요 개봉하기전부터 기대했는데 너무 재밌었어요 bb천만 까즈아","9"
"2019-03-20 09:32","스토리, 연기 다 좋았어요!","10"
"2019-03-20 09:45","영화 재밌게 잘 만든 영화","9"
"2019-03-20 09:47","아 부자 되고 싶다1010","9"
"2019-03-20 09:47","사전시사로 봤는데 가볍게 즐길만한 오락영화조 좋아요 배우 연기랑 음악이 최고 시간 잘감","10"
"2019-03-20 09:41","다른 건 몰라도 최근 본 류준열 영화중에서 젤 연기 좋았음! 그리고 몰입감도 대단!","10"
"2019-03-20 09:28","주식 하나도 모르는데도  존잼으로 봤음 류준열 연기도 존잼","10"
"2019-03-20 09:19","짱!!  보러갑니다. 오늘중으로 ㄱㄱ","10"
"2019-03-20 11:27","관람객
													
													
													
													
													
														
															
															
																로또보다 조일현! 영화 잘봤어요.","10"
"2019-03-20 10:06","배우들 연기도 탄탄하고, 오락영화로 제격이다","10"
"2019-03-20 10:32","주식인이라 그런지 난 너무 재밌게 봤다는ㅋㅋㅋ","10"
"2019-03-20 11:00","간만에 괜찮은 금ㅈ융 영화가 나왔네요. 긴장을 놓지않고 속도감 있게 잘 연출한 수작","10"
"2019-03-20 10:08","류준열의 연기가 돋보이던 영화. 금년 본 영화 중에서는 최고인듯. 매우 매우 추천함.","10"
"2019-03-20 10:04","생각엢이  재미있게  볼만한  영화입니다  사전시사회때  봤는데   재미있어요","10"
"2019-03-20 10:06","재밌어요! 류준열 짱 ㅋㅋㅋ","10"
"2019-03-20 09:22","조우진 보러옴ㄱㄱㄱㄱ","10"
"2019-03-20 13:10","관람객
													
													
													
													
													
														
															
															
																주인공이 평범한 사람이라 더 집중이 잘됬던 것 같아요. 류준열 연기도 정말 좋았구요. 평소에 주식이 관심이 많아 더 재밌게 봤습니다","9"
"2019-03-20 10:44","어제 시사회로 봤는데 영화도 진짜 재밌고 조우진 연기 진짜 잘합니다. 영화 꼭 보세요!!","10"
"2019-03-20 10:19","너무 재미있게 봤어요 배우들의 연기력도 굿!!","10"
"2019-03-20 10:51","영화보는 내내 지루할 틈이 없었네요~","10"
"2019-03-23 08:16","평점기대보다는 별로임","1"
"2019-03-20 10:06","돈 때문에 봐야 하는 영화입니다.  잘 만들었네요","10"
"2019-03-20 10:01","류준열이 믿고오늘 오후 2시에 본다??","10"
"2019-03-20 09:52","돈을보고느니 더 부자가되고싶네","8"
"2019-03-20 10:10","최고이고..연기가 으뜸입니다!!","10"
"2019-03-20 12:25","관람객
													
													
													
													
													
														
															
															
																류준열 보러갔는데 조일현만 보이는구나!조일현 그자체구나!","10"
"2019-03-20 11:13","관람객
													
													
													
													
													
														
															
															
																배우들의 연기가 모두 굿. 흥미로운 스토리도 한몫했다","10"
"2019-03-20 10:28","리드미컬한 영화!!!!배우연기와 음악이 인상깊었다.","8"
"2019-03-20 12:26","관람객
													
													
													
													
													
														
															
															
																류준열 연기잘하네요재밌었어요~~~","10"
